"Column1","Pickup point","Status","Request Hour","Request Day","Request Timeslot"
"1085","Airport","Trip Completed","13","Friday","Afternoon"
"6369","City","No Cars Available","13","Friday","Afternoon"
"6368","City","No Cars Available","13","Friday","Afternoon"
"6367","City","No Cars Available","13","Friday","Afternoon"
"6366","Airport","No Cars Available","13","Friday","Afternoon"
"6365","City","No Cars Available","13","Friday","Afternoon"
"6364","City","No Cars Available","13","Friday","Afternoon"
"6363","City","No Cars Available","13","Friday","Afternoon"
"6362","City","No Cars Available","13","Friday","Afternoon"
"6361","City","No Cars Available","13","Friday","Afternoon"
"1722","Airport","Trip Completed","13","Friday","Afternoon"
"6360","City","No Cars Available","13","Friday","Afternoon"
"3740","City","Cancelled","13","Friday","Afternoon"
"6359","City","No Cars Available","13","Friday","Afternoon"
"6358","City","No Cars Available","13","Friday","Afternoon"
"1869","City","Trip Completed","13","Friday","Afternoon"
"6357","City","No Cars Available","13","Friday","Afternoon"
"6356","City","No Cars Available","13","Friday","Afternoon"
"6355","Airport","No Cars Available","13","Friday","Afternoon"
"6354","City","No Cars Available","13","Friday","Afternoon"
"6353","City","No Cars Available","13","Friday","Afternoon"
"3868","Airport","Cancelled","13","Friday","Afternoon"
"2807","Airport","Trip Completed","13","Friday","Afternoon"
"3599","Airport","Cancelled","13","Friday","Afternoon"
"1106","City","Trip Completed","13","Friday","Afternoon"
"197","Airport","Trip Completed","13","Friday","Afternoon"
"420","City","Trip Completed","13","Friday","Afternoon"
"2426","City","Trip Completed","13","Friday","Afternoon"
"2592","Airport","Trip Completed","13","Friday","Afternoon"
"1857","Airport","Trip Completed","13","Friday","Afternoon"
"3707","Airport","Cancelled","14","Friday","Afternoon"
"622","Airport","Trip Completed","14","Friday","Afternoon"
"2128","Airport","Trip Completed","14","Friday","Afternoon"
"6371","City","No Cars Available","14","Friday","Afternoon"
"6372","City","No Cars Available","14","Friday","Afternoon"
"6373","City","No Cars Available","14","Friday","Afternoon"
"2115","City","Trip Completed","14","Friday","Afternoon"
"6370","City","No Cars Available","14","Friday","Afternoon"
"1506","Airport","Trip Completed","14","Friday","Afternoon"
"2615","Airport","Trip Completed","14","Friday","Afternoon"
"1170","City","Trip Completed","14","Friday","Afternoon"
"6385","City","No Cars Available","14","Friday","Afternoon"
"6374","City","No Cars Available","14","Friday","Afternoon"
"2443","City","Trip Completed","14","Friday","Afternoon"
"58","Airport","Trip Completed","14","Friday","Afternoon"
"6384","City","No Cars Available","14","Friday","Afternoon"
"1666","Airport","Trip Completed","14","Friday","Afternoon"
"6383","City","No Cars Available","14","Friday","Afternoon"
"6375","City","No Cars Available","14","Friday","Afternoon"
"3958","Airport","Cancelled","14","Friday","Afternoon"
"1680","City","Trip Completed","14","Friday","Afternoon"
"6376","City","No Cars Available","14","Friday","Afternoon"
"2081","Airport","Trip Completed","14","Friday","Afternoon"
"6378","City","No Cars Available","14","Friday","Afternoon"
"6379","City","No Cars Available","14","Friday","Afternoon"
"6380","City","No Cars Available","14","Friday","Afternoon"
"6381","City","No Cars Available","14","Friday","Afternoon"
"6382","Airport","No Cars Available","14","Friday","Afternoon"
"6377","City","No Cars Available","14","Friday","Afternoon"
"2211","City","Trip Completed","14","Friday","Afternoon"
"314","Airport","Trip Completed","14","Friday","Afternoon"
"3128","Airport","Cancelled","14","Friday","Afternoon"
"800","City","Trip Completed","14","Friday","Afternoon"
"2556","City","Trip Completed","14","Friday","Afternoon"
"2678","City","Trip Completed","14","Friday","Afternoon"
"1882","City","Trip Completed","14","Friday","Afternoon"
"66","Airport","Trip Completed","15","Friday","Afternoon"
"850","Airport","Trip Completed","15","Friday","Afternoon"
"2566","City","Trip Completed","15","Friday","Afternoon"
"37","Airport","Trip Completed","15","Friday","Afternoon"
"241","Airport","Trip Completed","15","Friday","Afternoon"
"2344","City","Trip Completed","15","Friday","Afternoon"
"6396","City","No Cars Available","15","Friday","Afternoon"
"3717","Airport","Cancelled","15","Friday","Afternoon"
"6397","City","No Cars Available","15","Friday","Afternoon"
"2495","Airport","Trip Completed","15","Friday","Afternoon"
"675","Airport","Trip Completed","15","Friday","Afternoon"
"2653","Airport","Trip Completed","15","Friday","Afternoon"
"860","City","Trip Completed","15","Friday","Afternoon"
"6395","City","No Cars Available","15","Friday","Afternoon"
"870","City","Trip Completed","15","Friday","Afternoon"
"2326","City","Trip Completed","15","Friday","Afternoon"
"2409","Airport","Trip Completed","15","Friday","Afternoon"
"6387","City","No Cars Available","15","Friday","Afternoon"
"955","Airport","Trip Completed","15","Friday","Afternoon"
"6386","City","No Cars Available","15","Friday","Afternoon"
"6392","City","No Cars Available","15","Friday","Afternoon"
"6400","City","No Cars Available","15","Friday","Afternoon"
"3089","Airport","Cancelled","15","Friday","Afternoon"
"6388","City","No Cars Available","15","Friday","Afternoon"
"6391","City","No Cars Available","15","Friday","Afternoon"
"6401","City","No Cars Available","15","Friday","Afternoon"
"6402","Airport","No Cars Available","15","Friday","Afternoon"
"6403","City","No Cars Available","15","Friday","Afternoon"
"6404","City","No Cars Available","15","Friday","Afternoon"
"6390","Airport","No Cars Available","15","Friday","Afternoon"
"2233","City","Trip Completed","15","Friday","Afternoon"
"6389","City","No Cars Available","15","Friday","Afternoon"
"2219","Airport","Trip Completed","15","Friday","Afternoon"
"1067","Airport","Trip Completed","15","Friday","Afternoon"
"6394","City","No Cars Available","15","Friday","Afternoon"
"6399","City","No Cars Available","15","Friday","Afternoon"
"6398","City","No Cars Available","15","Friday","Afternoon"
"6393","City","No Cars Available","15","Friday","Afternoon"
"228","City","Trip Completed","15","Friday","Afternoon"
"1757","Airport","Trip Completed","12","Monday","Afternoon"
"1193","Airport","Trip Completed","12","Monday","Afternoon"
"765","City","Trip Completed","12","Monday","Afternoon"
"2365","Airport","Trip Completed","12","Monday","Afternoon"
"553","Airport","Trip Completed","12","Monday","Afternoon"
"1222","Airport","Trip Completed","12","Monday","Afternoon"
"753","Airport","Trip Completed","12","Monday","Afternoon"
"570","City","Trip Completed","12","Monday","Afternoon"
"2328","Airport","Trip Completed","12","Monday","Afternoon"
"4249","City","No Cars Available","12","Monday","Afternoon"
"308","Airport","Trip Completed","12","Monday","Afternoon"
"2537","City","Trip Completed","12","Monday","Afternoon"
"1812","Airport","Trip Completed","12","Monday","Afternoon"
"4255","City","No Cars Available","12","Monday","Afternoon"
"3798","Airport","Cancelled","12","Monday","Afternoon"
"4254","City","No Cars Available","12","Monday","Afternoon"
"412","City","Trip Completed","12","Monday","Afternoon"
"2452","Airport","Trip Completed","12","Monday","Afternoon"
"4253","City","No Cars Available","12","Monday","Afternoon"
"4252","Airport","No Cars Available","12","Monday","Afternoon"
"1828","City","Trip Completed","12","Monday","Afternoon"
"4251","Airport","No Cars Available","12","Monday","Afternoon"
"4250","City","No Cars Available","12","Monday","Afternoon"
"438","Airport","Trip Completed","12","Monday","Afternoon"
"2419","City","Trip Completed","12","Monday","Afternoon"
"631","Airport","Trip Completed","12","Monday","Afternoon"
"1682","Airport","Trip Completed","12","Monday","Afternoon"
"2153","City","Trip Completed","12","Monday","Afternoon"
"2141","Airport","Trip Completed","12","Monday","Afternoon"
"3684","City","Cancelled","12","Monday","Afternoon"
"3929","City","Cancelled","12","Monday","Afternoon"
"2118","Airport","Trip Completed","12","Monday","Afternoon"
"1304","Airport","Trip Completed","12","Monday","Afternoon"
"2307","City","Trip Completed","12","Monday","Afternoon"
"1253","City","Trip Completed","12","Monday","Afternoon"
"1474","City","Trip Completed","12","Monday","Afternoon"
"3697","Airport","Cancelled","12","Monday","Afternoon"
"1366","City","Trip Completed","12","Monday","Afternoon"
"265","Airport","Trip Completed","12","Monday","Afternoon"
"1694","Airport","Trip Completed","12","Monday","Afternoon"
"2788","City","Trip Completed","12","Monday","Afternoon"
"1107","Airport","Trip Completed","12","Monday","Afternoon"
"974","City","Trip Completed","12","Monday","Afternoon"
"154","City","Trip Completed","12","Monday","Afternoon"
"2645","Airport","Trip Completed","12","Monday","Afternoon"
"2680","City","Trip Completed","12","Monday","Afternoon"
"2690","City","Trip Completed","12","Monday","Afternoon"
"1541","City","Trip Completed","13","Monday","Afternoon"
"3565","Airport","Cancelled","13","Monday","Afternoon"
"28","City","Trip Completed","13","Monday","Afternoon"
"1509","City","Trip Completed","13","Monday","Afternoon"
"1440","Airport","Trip Completed","13","Monday","Afternoon"
"2674","Airport","Trip Completed","13","Monday","Afternoon"
"1310","City","Trip Completed","13","Monday","Afternoon"
"1374","City","Trip Completed","13","Monday","Afternoon"
"910","Airport","Trip Completed","13","Monday","Afternoon"
"632","City","Trip Completed","13","Monday","Afternoon"
"1744","City","Trip Completed","13","Monday","Afternoon"
"185","Airport","Trip Completed","13","Monday","Afternoon"
"3935","City","Cancelled","13","Monday","Afternoon"
"201","Airport","Trip Completed","13","Monday","Afternoon"
"3635","City","Cancelled","13","Monday","Afternoon"
"2462","City","Trip Completed","13","Monday","Afternoon"
"4256","City","No Cars Available","13","Monday","Afternoon"
"2429","Airport","Trip Completed","13","Monday","Afternoon"
"492","City","Trip Completed","13","Monday","Afternoon"
"2630","City","Trip Completed","13","Monday","Afternoon"
"2390","City","Trip Completed","13","Monday","Afternoon"
"506","Airport","Trip Completed","13","Monday","Afternoon"
"4257","Airport","No Cars Available","13","Monday","Afternoon"
"4258","City","No Cars Available","13","Monday","Afternoon"
"4266","City","No Cars Available","13","Monday","Afternoon"
"4265","City","No Cars Available","13","Monday","Afternoon"
"4264","City","No Cars Available","13","Monday","Afternoon"
"4263","Airport","No Cars Available","13","Monday","Afternoon"
"4262","Airport","No Cars Available","13","Monday","Afternoon"
"4261","Airport","No Cars Available","13","Monday","Afternoon"
"4260","Airport","No Cars Available","13","Monday","Afternoon"
"4259","City","No Cars Available","13","Monday","Afternoon"
"4267","City","No Cars Available","14","Monday","Afternoon"
"2596","Airport","Trip Completed","14","Monday","Afternoon"
"1069","Airport","Trip Completed","14","Monday","Afternoon"
"2176","City","Trip Completed","14","Monday","Afternoon"
"141","City","Trip Completed","14","Monday","Afternoon"
"4271","Airport","No Cars Available","14","Monday","Afternoon"
"1520","Airport","Trip Completed","14","Monday","Afternoon"
"4269","City","No Cars Available","14","Monday","Afternoon"
"664","City","Trip Completed","14","Monday","Afternoon"
"4268","Airport","No Cars Available","14","Monday","Afternoon"
"4270","City","No Cars Available","14","Monday","Afternoon"
"2329","City","Trip Completed","14","Monday","Afternoon"
"3636","City","Cancelled","14","Monday","Afternoon"
"2357","Airport","Trip Completed","14","Monday","Afternoon"
"1603","Airport","Trip Completed","14","Monday","Afternoon"
"2095","City","Trip Completed","14","Monday","Afternoon"
"1613","City","Trip Completed","14","Monday","Afternoon"
"1781","City","Trip Completed","14","Monday","Afternoon"
"873","Airport","Trip Completed","14","Monday","Afternoon"
"779","Airport","Trip Completed","14","Monday","Afternoon"
"3748","City","Cancelled","14","Monday","Afternoon"
"2520","Airport","Trip Completed","14","Monday","Afternoon"
"2508","City","Trip Completed","14","Monday","Afternoon"
"1449","Airport","Trip Completed","14","Monday","Afternoon"
"1277","City","Trip Completed","14","Monday","Afternoon"
"1786","City","Trip Completed","14","Monday","Afternoon"
"2012","Airport","Trip Completed","15","Monday","Afternoon"
"309","Airport","Trip Completed","15","Monday","Afternoon"
"3667","Airport","Cancelled","15","Monday","Afternoon"
"385","City","Trip Completed","15","Monday","Afternoon"
"332","City","Trip Completed","15","Monday","Afternoon"
"2346","Airport","Trip Completed","15","Monday","Afternoon"
"1917","Airport","Trip Completed","15","Monday","Afternoon"
"4272","City","No Cars Available","15","Monday","Afternoon"
"4273","Airport","No Cars Available","15","Monday","Afternoon"
"4274","City","No Cars Available","15","Monday","Afternoon"
"652","City","Trip Completed","15","Monday","Afternoon"
"1683","City","Trip Completed","15","Monday","Afternoon"
"862","Airport","Trip Completed","15","Monday","Afternoon"
"2583","City","Trip Completed","15","Monday","Afternoon"
"766","Airport","Trip Completed","15","Monday","Afternoon"
"324","City","Trip Completed","15","Monday","Afternoon"
"3890","Airport","Cancelled","15","Monday","Afternoon"
"2843","City","Cancelled","15","Monday","Afternoon"
"1162","Airport","Trip Completed","15","Monday","Afternoon"
"3502","City","Cancelled","15","Monday","Afternoon"
"2374","Airport","Trip Completed","15","Monday","Afternoon"
"1269","Airport","Trip Completed","15","Monday","Afternoon"
"613","City","Trip Completed","15","Monday","Afternoon"
"2631","Airport","Trip Completed","15","Monday","Afternoon"
"1108","City","Trip Completed","15","Monday","Afternoon"
"2664","Airport","Trip Completed","15","Monday","Afternoon"
"3926","City","Cancelled","15","Monday","Afternoon"
"216","City","Trip Completed","15","Monday","Afternoon"
"1558","Airport","Trip Completed","15","Monday","Afternoon"
"500","City","Trip Completed","12","Thursday","Afternoon"
"762","City","Trip Completed","12","Thursday","Afternoon"
"1866","City","Trip Completed","12","Thursday","Afternoon"
"5781","Airport","No Cars Available","12","Thursday","Afternoon"
"2554","City","Trip Completed","12","Thursday","Afternoon"
"2484","City","Trip Completed","12","Thursday","Afternoon"
"2459","City","Trip Completed","12","Thursday","Afternoon"
"575","City","Trip Completed","12","Thursday","Afternoon"
"468","City","Trip Completed","12","Thursday","Afternoon"
"5782","City","No Cars Available","12","Thursday","Afternoon"
"3900","City","Cancelled","12","Thursday","Afternoon"
"223","City","Trip Completed","12","Thursday","Afternoon"
"237","City","Trip Completed","12","Thursday","Afternoon"
"4046","Airport","Cancelled","12","Thursday","Afternoon"
"2250","Airport","Trip Completed","12","Thursday","Afternoon"
"3855","City","Cancelled","12","Thursday","Afternoon"
"2231","City","Trip Completed","12","Thursday","Afternoon"
"1954","City","Trip Completed","12","Thursday","Afternoon"
"3511","Airport","Cancelled","12","Thursday","Afternoon"
"1924","City","Trip Completed","12","Thursday","Afternoon"
"1418","City","Trip Completed","12","Thursday","Afternoon"
"5783","Airport","No Cars Available","12","Thursday","Afternoon"
"5785","City","No Cars Available","12","Thursday","Afternoon"
"2735","City","Trip Completed","12","Thursday","Afternoon"
"5784","Airport","No Cars Available","12","Thursday","Afternoon"
"934","City","Trip Completed","12","Thursday","Afternoon"
"5788","City","No Cars Available","12","Thursday","Afternoon"
"2868","Airport","Cancelled","12","Thursday","Afternoon"
"5786","Airport","No Cars Available","12","Thursday","Afternoon"
"5787","Airport","No Cars Available","12","Thursday","Afternoon"
"16","City","Trip Completed","12","Thursday","Afternoon"
"2565","City","Trip Completed","12","Thursday","Afternoon"
"867","City","Trip Completed","13","Thursday","Afternoon"
"3546","City","Cancelled","13","Thursday","Afternoon"
"1009","City","Trip Completed","13","Thursday","Afternoon"
"3545","Airport","Cancelled","13","Thursday","Afternoon"
"2876","Airport","Cancelled","13","Thursday","Afternoon"
"836","City","Trip Completed","13","Thursday","Afternoon"
"1800","Airport","Trip Completed","13","Thursday","Afternoon"
"35","City","Trip Completed","13","Thursday","Afternoon"
"1808","City","Trip Completed","13","Thursday","Afternoon"
"3808","City","Cancelled","13","Thursday","Afternoon"
"894","Airport","Trip Completed","13","Thursday","Afternoon"
"909","City","Trip Completed","13","Thursday","Afternoon"
"2196","City","Trip Completed","13","Thursday","Afternoon"
"1282","City","Trip Completed","13","Thursday","Afternoon"
"638","Airport","Trip Completed","13","Thursday","Afternoon"
"660","City","Trip Completed","13","Thursday","Afternoon"
"90","City","Trip Completed","13","Thursday","Afternoon"
"1113","Airport","Trip Completed","13","Thursday","Afternoon"
"2078","City","Trip Completed","13","Thursday","Afternoon"
"1632","Airport","Trip Completed","13","Thursday","Afternoon"
"1752","City","Trip Completed","13","Thursday","Afternoon"
"1662","City","Trip Completed","13","Thursday","Afternoon"
"1128","City","Trip Completed","13","Thursday","Afternoon"
"5798","Airport","No Cars Available","13","Thursday","Afternoon"
"5795","City","No Cars Available","13","Thursday","Afternoon"
"5796","City","No Cars Available","13","Thursday","Afternoon"
"5797","Airport","No Cars Available","13","Thursday","Afternoon"
"2434","City","Trip Completed","13","Thursday","Afternoon"
"1176","Airport","Trip Completed","13","Thursday","Afternoon"
"400","Airport","Trip Completed","13","Thursday","Afternoon"
"2543","City","Trip Completed","13","Thursday","Afternoon"
"5789","Airport","No Cars Available","13","Thursday","Afternoon"
"2527","Airport","Trip Completed","13","Thursday","Afternoon"
"5790","City","No Cars Available","13","Thursday","Afternoon"
"5791","City","No Cars Available","13","Thursday","Afternoon"
"5792","City","No Cars Available","13","Thursday","Afternoon"
"5793","Airport","No Cars Available","13","Thursday","Afternoon"
"369","City","Trip Completed","13","Thursday","Afternoon"
"5794","City","No Cars Available","13","Thursday","Afternoon"
"1217","Airport","Trip Completed","13","Thursday","Afternoon"
"551","City","Trip Completed","13","Thursday","Afternoon"
"1537","City","Trip Completed","14","Thursday","Afternoon"
"3324","City","Cancelled","14","Thursday","Afternoon"
"347","City","Trip Completed","14","Thursday","Afternoon"
"2494","City","Trip Completed","14","Thursday","Afternoon"
"1238","Airport","Trip Completed","14","Thursday","Afternoon"
"3962","City","Cancelled","14","Thursday","Afternoon"
"54","City","Trip Completed","14","Thursday","Afternoon"
"389","City","Trip Completed","14","Thursday","Afternoon"
"394","City","Trip Completed","14","Thursday","Afternoon"
"5799","Airport","No Cars Available","14","Thursday","Afternoon"
"158","City","Trip Completed","14","Thursday","Afternoon"
"1353","Airport","Trip Completed","14","Thursday","Afternoon"
"150","City","Trip Completed","14","Thursday","Afternoon"
"513","City","Trip Completed","14","Thursday","Afternoon"
"1411","Airport","Trip Completed","14","Thursday","Afternoon"
"1890","City","Trip Completed","14","Thursday","Afternoon"
"1677","Airport","Trip Completed","15","Thursday","Afternoon"
"1151","City","Trip Completed","15","Thursday","Afternoon"
"3045","Airport","Cancelled","15","Thursday","Afternoon"
"689","City","Trip Completed","15","Thursday","Afternoon"
"559","Airport","Trip Completed","15","Thursday","Afternoon"
"1867","City","Trip Completed","15","Thursday","Afternoon"
"886","City","Trip Completed","15","Thursday","Afternoon"
"5806","City","No Cars Available","15","Thursday","Afternoon"
"2305","Airport","Trip Completed","15","Thursday","Afternoon"
"5804","City","No Cars Available","15","Thursday","Afternoon"
"1487","City","Trip Completed","15","Thursday","Afternoon"
"1035","City","Trip Completed","15","Thursday","Afternoon"
"5803","Airport","No Cars Available","15","Thursday","Afternoon"
"5802","City","No Cars Available","15","Thursday","Afternoon"
"941","Airport","Trip Completed","15","Thursday","Afternoon"
"895","City","Trip Completed","15","Thursday","Afternoon"
"1363","City","Trip Completed","15","Thursday","Afternoon"
"520","City","Trip Completed","15","Thursday","Afternoon"
"2207","Airport","Trip Completed","15","Thursday","Afternoon"
"5805","City","No Cars Available","15","Thursday","Afternoon"
"5801","Airport","No Cars Available","15","Thursday","Afternoon"
"3931","City","Cancelled","15","Thursday","Afternoon"
"3151","City","Cancelled","15","Thursday","Afternoon"
"1641","Airport","Trip Completed","15","Thursday","Afternoon"
"2049","Airport","Trip Completed","15","Thursday","Afternoon"
"209","Airport","Trip Completed","15","Thursday","Afternoon"
"2677","City","Trip Completed","15","Thursday","Afternoon"
"3303","Airport","Cancelled","15","Thursday","Afternoon"
"5800","Airport","No Cars Available","15","Thursday","Afternoon"
"1570","City","Trip Completed","15","Thursday","Afternoon"
"2441","City","Trip Completed","15","Thursday","Afternoon"
"529","Airport","Trip Completed","15","Thursday","Afternoon"
"2044","Airport","Trip Completed","12","Tuesday","Afternoon"
"549","Airport","Trip Completed","12","Tuesday","Afternoon"
"1196","City","Trip Completed","12","Tuesday","Afternoon"
"3383","Airport","Cancelled","12","Tuesday","Afternoon"
"342","City","Trip Completed","12","Tuesday","Afternoon"
"1823","Airport","Trip Completed","12","Tuesday","Afternoon"
"3434","City","Cancelled","12","Tuesday","Afternoon"
"1542","Airport","Trip Completed","12","Tuesday","Afternoon"
"194","Airport","Trip Completed","12","Tuesday","Afternoon"
"3542","Airport","Cancelled","12","Tuesday","Afternoon"
"2085","City","Trip Completed","12","Tuesday","Afternoon"
"1617","City","Trip Completed","12","Tuesday","Afternoon"
"2259","Airport","Trip Completed","12","Tuesday","Afternoon"
"287","Airport","Trip Completed","12","Tuesday","Afternoon"
"1886","Airport","Trip Completed","12","Tuesday","Afternoon"
"745","City","Trip Completed","12","Tuesday","Afternoon"
"1358","Airport","Trip Completed","12","Tuesday","Afternoon"
"1949","City","Trip Completed","12","Tuesday","Afternoon"
"1686","City","Trip Completed","12","Tuesday","Afternoon"
"2203","City","Trip Completed","12","Tuesday","Afternoon"
"268","City","Trip Completed","12","Tuesday","Afternoon"
"946","Airport","Trip Completed","12","Tuesday","Afternoon"
"4750","City","No Cars Available","12","Tuesday","Afternoon"
"4749","City","No Cars Available","12","Tuesday","Afternoon"
"4748","City","No Cars Available","12","Tuesday","Afternoon"
"4747","Airport","No Cars Available","12","Tuesday","Afternoon"
"4746","City","No Cars Available","12","Tuesday","Afternoon"
"4745","Airport","No Cars Available","12","Tuesday","Afternoon"
"4743","City","No Cars Available","12","Tuesday","Afternoon"
"4742","City","No Cars Available","12","Tuesday","Afternoon"
"3126","City","Cancelled","12","Tuesday","Afternoon"
"4744","Airport","No Cars Available","12","Tuesday","Afternoon"
"2646","City","Trip Completed","12","Tuesday","Afternoon"
"11","City","Trip Completed","12","Tuesday","Afternoon"
"1459","City","Trip Completed","13","Tuesday","Afternoon"
"3091","City","Cancelled","13","Tuesday","Afternoon"
"1491","City","Trip Completed","13","Tuesday","Afternoon"
"3124","City","Cancelled","13","Tuesday","Afternoon"
"4752","Airport","No Cars Available","13","Tuesday","Afternoon"
"4751","City","No Cars Available","13","Tuesday","Afternoon"
"3154","Airport","Cancelled","13","Tuesday","Afternoon"
"1331","Airport","Trip Completed","13","Tuesday","Afternoon"
"50","Airport","Trip Completed","13","Tuesday","Afternoon"
"1339","Airport","Trip Completed","13","Tuesday","Afternoon"
"2248","Airport","Trip Completed","13","Tuesday","Afternoon"
"1566","City","Trip Completed","13","Tuesday","Afternoon"
"643","City","Trip Completed","13","Tuesday","Afternoon"
"1908","City","Trip Completed","13","Tuesday","Afternoon"
"721","City","Trip Completed","13","Tuesday","Afternoon"
"2750","City","Trip Completed","13","Tuesday","Afternoon"
"1119","Airport","Trip Completed","13","Tuesday","Afternoon"
"4753","Airport","No Cars Available","13","Tuesday","Afternoon"
"2005","City","Trip Completed","13","Tuesday","Afternoon"
"1989","Airport","Trip Completed","13","Tuesday","Afternoon"
"2621","City","Trip Completed","13","Tuesday","Afternoon"
"4758","Airport","No Cars Available","13","Tuesday","Afternoon"
"4756","City","No Cars Available","13","Tuesday","Afternoon"
"3163","City","Cancelled","13","Tuesday","Afternoon"
"4754","Airport","No Cars Available","13","Tuesday","Afternoon"
"4757","Airport","No Cars Available","13","Tuesday","Afternoon"
"4755","Airport","No Cars Available","13","Tuesday","Afternoon"
"636","City","Trip Completed","14","Tuesday","Afternoon"
"4765","City","No Cars Available","14","Tuesday","Afternoon"
"1465","Airport","Trip Completed","14","Tuesday","Afternoon"
"3419","Airport","Cancelled","14","Tuesday","Afternoon"
"655","Airport","Trip Completed","14","Tuesday","Afternoon"
"93","City","Trip Completed","14","Tuesday","Afternoon"
"1983","City","Trip Completed","14","Tuesday","Afternoon"
"2480","Airport","Trip Completed","14","Tuesday","Afternoon"
"1996","City","Trip Completed","14","Tuesday","Afternoon"
"2035","Airport","Trip Completed","14","Tuesday","Afternoon"
"2713","City","Trip Completed","14","Tuesday","Afternoon"
"177","City","Trip Completed","14","Tuesday","Afternoon"
"4766","City","No Cars Available","14","Tuesday","Afternoon"
"2411","City","Trip Completed","14","Tuesday","Afternoon"
"4763","City","No Cars Available","14","Tuesday","Afternoon"
"1393","Airport","Trip Completed","14","Tuesday","Afternoon"
"1384","Airport","Trip Completed","14","Tuesday","Afternoon"
"769","Airport","Trip Completed","14","Tuesday","Afternoon"
"1368","Airport","Trip Completed","14","Tuesday","Afternoon"
"4759","City","No Cars Available","14","Tuesday","Afternoon"
"2239","City","Trip Completed","14","Tuesday","Afternoon"
"4762","City","No Cars Available","14","Tuesday","Afternoon"
"606","City","Trip Completed","14","Tuesday","Afternoon"
"3129","Airport","Cancelled","14","Tuesday","Afternoon"
"4760","City","No Cars Available","14","Tuesday","Afternoon"
"3446","Airport","Cancelled","14","Tuesday","Afternoon"
"4761","City","No Cars Available","14","Tuesday","Afternoon"
"686","City","Trip Completed","14","Tuesday","Afternoon"
"1423","Airport","Trip Completed","14","Tuesday","Afternoon"
"4764","City","No Cars Available","14","Tuesday","Afternoon"
"42","City","Trip Completed","14","Tuesday","Afternoon"
"1787","Airport","Trip Completed","14","Tuesday","Afternoon"
"4773","City","No Cars Available","15","Tuesday","Afternoon"
"4774","City","No Cars Available","15","Tuesday","Afternoon"
"4772","Airport","No Cars Available","15","Tuesday","Afternoon"
"21","Airport","Trip Completed","15","Tuesday","Afternoon"
"1975","Airport","Trip Completed","15","Tuesday","Afternoon"
"1782","City","Trip Completed","15","Tuesday","Afternoon"
"4775","City","No Cars Available","15","Tuesday","Afternoon"
"3289","Airport","Cancelled","15","Tuesday","Afternoon"
"2933","Airport","Cancelled","15","Tuesday","Afternoon"
"2359","Airport","Trip Completed","15","Tuesday","Afternoon"
"4771","Airport","No Cars Available","15","Tuesday","Afternoon"
"3280","City","Cancelled","15","Tuesday","Afternoon"
"1705","Airport","Trip Completed","15","Tuesday","Afternoon"
"269","Airport","Trip Completed","15","Tuesday","Afternoon"
"4770","City","No Cars Available","15","Tuesday","Afternoon"
"4776","City","No Cars Available","15","Tuesday","Afternoon"
"4777","City","No Cars Available","15","Tuesday","Afternoon"
"566","Airport","Trip Completed","15","Tuesday","Afternoon"
